Brand Name,Product Name,Price,Operating System,Processor,Memory,Storage,Display,Graphics
HP,HP 15-fd1014ca Laptop with dual-mode wireless mouse,$749.99,Windows 11 Home,Intel® Core™ 5 120U,16 GB RAM,512 GB SSD,15.6" FHD,Intel® Graphics,
HP,HP ProBook 460 16 inch G11 Notebook PC,$1899.00,Windows 11 Pro,Intel® Core™ Ultra 7 155U,32 GB RAM,1 TB SSD,16" WUXGA,Intel® Graphics,
HP,HP Spectre x360 2-in-1 Laptop 14-eu0020ca - Core™ Ultra 7  Silver with Pen + HP 3 Year Pickup Return w/Accidental Damage Protection for Spectre Omen  Omnibook Ultra NB (RiskFree,$1999.98,Windows 11 Home,Intel® Core™ Ultra 7 155H,32 GB RAM,2 TB SSD,14" 3K OLED Touch screen  120 Hz  0.2 ms Response time,Intel® Arc™ Graphics,
HP,HP Laptop 15-fc0110ca,$829.99,Windows 11 Home,AMD Ryzen™ 5 7520U,16 GB RAM,512 GB SSD,15.6" FHD,AMD Radeon™ Graphics,
HP,Victus Gaming Laptop 15-fa1040ca,$1099.99,Windows 11 Home,Intel® Core™ i7 12650H,16 GB RAM,1 TB SSD,15.6" FHD  144 Hz  9 ms Response time,NVIDIA® GeForce RTX™ 2050 (4 GB),
HP,HP Spectre x360 2-in-1 Laptop 14-eu0050ca - Core™ Ultra 7  Silver with Pen + HP 3 Year Pickup Return w/Accidental Damage Protection for Spectre Omen  Omnibook Ultra NB (RiskFree,$1899.98,Windows 11 Home,Intel® Core™ Ultra 7 155H,16 GB RAM,1 TB SSD,14" 3K OLED Touch screen  120 Hz  0.2 ms Response time,Intel® Arc™ Graphics,
HP,HP 15-fc0034ca Laptop with 12 months Microsoft 365 Personal,$849.99,Windows 11 Home,AMD Ryzen™ 5 7520U,16 GB RAM,512 GB SSD,15.6" FHD,AMD Radeon™ Graphics,
HP,HP Pavilion Plus Laptop 14-ey1000ca,$1529.99,Windows 11 Home,AMD Ryzen™ 7 8845HS,16 GB RAM,512 GB SSD,14" 3K OLED  120 Hz  0.2 ms Response time,AMD Radeon™ Graphics,
HP,HP Laptop 15-fc0120ca,$609.99,Windows 11 Home,AMD Ryzen™ 3 7320U,8 GB RAM,512 GB SSD,15.6" FHD,AMD Radeon™ Graphics,
HP,HP Pavilion Laptop 16-ag0010ca,$1329.99,Windows 11 Home,AMD Ryzen™ 7 8840U,16 GB RAM,1 TB SSD,16" 2K,AMD Radeon™ Graphics,
HP,Victus Gaming Laptop 15-fb2020ca,$999.99,Windows 11 Home,AMD Ryzen™ 5 8645HS,16 GB RAM,512 GB SSD,15.6" FHD,NVIDIA® GeForce RTX™ 2050 (4 GB),
HP,HP Pavilion Laptop 16-af0000ca,$999.99,Windows 11 Home,Intel® Core™ 5 12OU,16 GB RAM,512 GB SSD,16" 2K,Intel® Graphics,
